ProbeName 	SystematicName 	Ctnnb1..EKUTA.1. 	Ctnnb1..EKUTA.2. 	Ras..EKUTA.3. 	Ctnnb1..EKUTA.4. 	Ctnnb1..EKUTA.5. 	Ctnnb1..EKUTA.6. 	Ctnnb1..EKUTA.7. 	Ctnnb1..EKUTA.8. 	Ras..EKUTA.9. 	Ras..EKUTA.10. 	n.l..Ctnnb1..EKUTA.NT.1. 	n.l..Ctnnb1..EKUTA.NT.2. 	n.l..Ras..EKUTA.NT.3. 	n.l..Ctnnb1..EKUTA.NT.4. 	n.l..Ctnnb1..EKUTA.NT.5. 	n.l..Ctnnb1..EKUTA.NT.6. 	n.l..Ctnnb1..EKUTA.NT.8. 	n.l..Ras..EKUTA.NT.9. 	n.l..Ras..EKUTA.NT.10. 	Ctnnb1 	 Ras 	 N.l. (Ctnnb1) 	 N.l. (Ras) 	FC  Ctnnb1 	 FC  Ras 	 FC  Ctnnb1  vs.  Ras 	 FC  N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1) 	 Ras  vs.  N.l. (Ras) 	 Ctnnb1  vs.  Ras 	 N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1)  ADJ 	 Ras  vs.  N.l. (Ras)  ADJ 	 Ctnnb1  vs.  Ras  ADJ 	 N.l. (Ctnnb1)  vs.  N.l. (Ras)  ADJ 
A_54_P2161 	 mmu-miR-721 	2.478895	3.976779	2.216155	4.355395	2.974167	4.052573	4.211782	4.341371	2.165857	0.4953827	3.142783	1.502686	1.237165	2.291632	0.6855278	0.4328861	1.467233	0.9065478	1.251256	3.770137	1.625798	1.587125	1.131656	2.183013	0.4941421	2.144339	0.4554685	0.001721514	0.4759027	0.04167118	0.3289703	0.1681022	0.928386	0.4262348	0.8585158
A_54_P2704 	 mmu-miR-196b 	2.143755	1.216036	2.563904	1.555661	2.215862	2.111181	2.314037	1.680684	2.292548	1.304384	2.212195	1.837914	2.012954	2.346891	2.705487	1.857893	2.571058	1.956021	2.15924	1.891031	2.053612	2.25524	2.042738	-0.364209	0.01087348	-0.162581	0.2125015	0.1158747	0.9800525	0.7229165	0.2260121	0.5086173	0.9925225	0.9676963	0.8234925
A_54_P2498 	 mmu-miR-34a 	5.868875	6.21773	9.126432	5.243935	6.018849	5.68587	7.673443	6.611308	8.555742	7.104105	6.35058	5.510389	6.757075	5.990258	5.486835	6.04861	5.104813	4.911261	5.86637	6.188573	8.262093	5.748581	5.844902	0.4399921	2.417191	-2.07352	-0.09632147	0.2370372	0.04043645	0.0531436	0.8773944	0.643484	0.928386	0.4722874	0.9721649
A_54_P1069 	 mmu-miR-137 	3.064503	2.543378	1.832453	1.600967	0.9947237	0.8765444	1.358041	1.569595	1.458251	1.917901	2.524517	2.170259	1.980899	2.391139	1.22915	3.836689	1.85847	2.791284	2.213146	1.715393	1.736202	2.335037	2.328443	-0.6196442	-0.5922417	-0.02080834	0.006594183	0.2132389	0.1176601	0.952109	0.9881579	0.6165559	0.928386	0.9922076	0.9956887
A_54_P3362 	 mmu-miR-293* 	1.212461	1.426998	2.035894	0.6836855	1.060093	1.414996	1.849293	0.7876562	0.8834884	1.354083	0.1315172	0.6224435	0	1.450593	1.49275	1.800046	0	2.195554	2.684974	1.205026	1.424488	0.9162249	1.626843	0.2888011	-0.2023543	-0.2194624	-0.7106177	0.4331297	0.8367321	0.5942381	0.4880632	0.7830822	0.9712062	0.9676963	0.8932337
A_54_P2957 	 mmu-miR-450b-5p 	1.810874	2.25234	1.666053	1.685072	0.4270479	1.988154	3.101504	1.34574	1.797595	2.495539	2.491883	1.400109	1.478193	2.248427	2.862254	1.64235	0	1.369863	2.906349	1.801533	1.986396	1.77417	1.918135	0.02736266	0.06826084	-0.1848629	-0.1439648	0.9591169	0.910354	0.6602203	0.8331028	0.986231	0.9761747	0.9676963	0.9646805
A_54_P1420 	 mmu-miR-107 	8.546708	7.824121	9.033115	7.866323	7.364712	7.496052	8.204614	8.415	8.393855	7.460314	7.916449	7.779555	8.302766	7.19054	7.263086	8.116144	7.6994	7.922922	7.552555	7.959647	8.295761	7.660863	7.926081	0.2987848	0.3696802	-0.3361139	-0.2652186	0.2127589	0.5198999	0.5472278	0.3704069	0.6165559	0.9317511	0.9676963	0.8744774
A_54_P1381 	 mmu-miR-148b 	2.253634	1.176226	3.10867	1.592245	1.105524	1.372274	1.701222	2.999299	3.167815	1.928351	1.384187	0.987274	1.441207	1.39596	1.130565	2.170388	1.084281	1.175874	1.701023	1.742918	2.734945	1.358776	1.439368	0.3841418	1.295577	-0.9920278	-0.08059214	0.2422463	0.07045868	0.1115758	0.739556	0.643484	0.928386	0.6575309	0.9522769
A_54_P2483 	 mmu-miR-26b 	9.409112	8.373303	9.70943	9.254764	8.802193	7.551438	9.237472	9.180298	8.944952	7.988417	8.986702	8.29007	8.71626	8.444866	8.28104	8.95632	8.515192	8.455625	8.113618	8.829797	8.880933	8.579032	8.428501	0.2507652	0.4524319	-0.05113583	0.1505308	0.3982265	0.4658296	0.9325693	0.5241437	0.753507	0.928386	0.9922076	0.8932426
A_54_P4415 	 mmu-miR-30a* 	5.963702	5.071556	6.665273	5.441908	4.991592	4.929146	5.239506	4.792972	5.870875	5.231182	5.117999	6.069377	5.614188	4.846819	5.092051	5.859391	5.542189	5.553332	5.301895	5.20434	5.922443	5.421304	5.489805	-0.216964	0.4326382	-0.718103	-0.06850082	0.4007999	0.4075092	0.2179852	0.7633222	0.755649	0.928386	0.8327377	0.9556333
A_54_P3230 	 mmu-miR-544 	0	1.395386	0.4667863	2.911365	1.953325	2.081045	1.491474	0	1.381153	1.183895	0.4854268	0	1.570913	1.783426	2.214306	0.7427134	4.507624	1.400662	1.147862	1.404656	1.010612	1.622249	1.373145	-0.2175929	-0.3625338	0.3940448	0.2491039	0.7877466	0.3253173	0.4480845	0.7280382	0.9487774	0.928386	0.955219	0.9510076
A_54_P3560 	 mmu-miR-376b* 	2.337231	1.6741	0.7673771	2.83837	2.020041	2.022219	2.098093	1.592485	1.560606	1.262793	2.74267	1.805714	2.638666	2.196	1.705253	2.111459	1.808928	2.418517	1.347165	2.08322	1.196925	2.061671	2.134783	0.02154902	-0.9378573	0.8862946	-0.07311178	0.9247559	0.1288902	0.03392783	0.8767931	0.986231	0.928386	0.3909297	0.9721649
A_54_P1219 	 mmu-miR-294 	1.761764	2.459028	2.139587	1.963992	2.506715	1.756856	2.080017	1.015734	2.031274	2.496782	1.326123	2.011372	1.69752	1.792755	2.500283	1.619086	2.246505	2.523348	1.247303	1.934872	2.222548	1.916021	1.822723	0.01885162	0.3998246	-0.2876756	0.0932974	0.9431635	0.4017942	0.2614368	0.8359329	0.986231	0.928386	0.8707645	0.9646805
A_54_P2594 	 mmu-miR-101b 	9.120513	8.316627	9.718568	8.739349	8.046557	8.11876	8.323135	7.860274	9.272957	8.395532	8.291434	8.126475	8.697947	7.810986	7.64183	8.372397	8.196967	8.558818	8.47829	8.360745	9.129019	8.073348	8.578352	0.2873967	0.5506674	-0.768274	-0.5050034	0.1831336	0.2910095	0.17452	0.007018842	0.5810015	0.928386	0.7878913	0.1641984
hur_1_20 	 hur_1 	10.79036	10.10106	10.78751	10.71187	10.29401	10.16498	11.00231	10.61815	10.11391	9.858822	10.66537	9.966494	10.33796	10.17788	9.702547	10.48141	10.34328	10.39679	10.12855	10.52611	10.25341	10.22283	10.28776	0.3032774	-0.03435107	0.2726949	-0.0649336	0.1456479	0.9147315	0.4397839	0.705334	0.54189	0.9761747	0.955219	0.9510076
A_54_P2081 	 mmu-miR-705 	3.067802	3.042642	2.904706	3.31746	3.591778	3.063764	3.05943	3.636773	1.681626	0.5168408	3.830575	1.703905	2.524912	1.741631	1.635167	2.155437	1.809078	2.457815	2.97093	3.254235	1.701058	2.145966	2.651219	1.10827	-0.9501612	1.553178	-0.5052533	0.02228502	0.3004219	0.150378	0.2283915	0.3440806	0.928386	0.7516326	0.8234925
A_54_P2307 	 mmu-miR-142-5p 	4.555514	3.788846	4.159945	3.379324	3.882708	4.456198	5.000368	4.928856	3.23112	4.284163	4.00767	3.402052	2.877201	3.53545	3.391283	4.214941	3.71094	4.042169	3.910256	4.284545	3.891743	3.710389	3.609875	0.5741556	0.2818672	0.3928023	0.100514	0.06039658	0.6005502	0.3859464	0.8172652	0.4652592	0.9375173	0.955219	0.9628045
A_54_P2016 	 mmu-miR-669n 	3.645585	3.285864	3.678754	2.708031	2.908271	4.214618	4.574061	4.371811	3.8753	3.778627	3.343812	3.379709	3.463605	3.228821	3.433988	3.106527	3.250015	3.925312	3.691698	3.672606	3.77756	3.290479	3.693539	0.3821272	0.08402154	-0.1049541	-0.4030598	0.2227001	0.6066983	0.723805	0.07936419	0.6320753	0.9440888	0.9676963	0.5129428
A_54_P1984 	 mmu-miR-690 	6.211683	5.169481	4.741706	6.546338	5.935067	5.422767	6.181355	7.627139	6.207046	3.742474	1.837592	2.14462	5.638641	4.720511	4.501498	4.953503	5.766859	4.629159	7.092515	6.156261	4.897075	3.987431	5.786771	2.168831	-0.8896962	1.259186	-1.799341	0.01963082	0.4288059	0.2117026	0.1197206	0.3294564	0.928386	0.8254262	0.6444808
A_54_P2215 	 mghv-miR-M1-2 	4.438815	4.662185	4.239618	3.728926	4.460964	4.49917	4.54284	4.422206	4.499264	4.507191	3.897525	4.299718	4.516069	4.367778	3.920766	3.97582	4.269836	4.483609	4.301339	4.393586	4.415358	4.121907	4.433672	0.2716793	-0.01831467	-0.02177124	-0.3117653	0.08682493	0.8768533	0.8843938	0.02580819	0.4840295	0.9712062	0.9829443	0.3065219
A_54_P2361 	 mmu-miR-188-5p 	3.79741	4.030307	2.356541	4.39345	4.236342	3.761567	5.169432	5.092245	2.011941	1.64715	4.362212	1.945223	0.7901478	2.220124	1.120862	1.775668	3.824495	2.612562	3.885536	4.354393	2.005211	2.541431	2.429415	1.812963	-0.4242046	2.349183	0.1120154	0.01517102	0.6866208	0.000166984	0.9200138	0.2788578	0.9605641	0.008594089	0.9756364
A_54_P2409 	 mmu-miR-30e 	5.60935	4.174977	5.058762	3.793787	3.791858	5.470939	4.614332	4.207965	4.585801	4.40212	3.953353	4.157946	5.105686	3.395741	4.003053	5.224123	4.583804	5.078575	4.945433	4.523315	4.682228	4.21967	5.043231	0.3036456	-0.3610032	-0.1589122	-0.8235611	0.4421849	2.01E-01	0.6570864	0.02231216	0.7865593	0.928386	0.9676963	0.2939849
A_54_P2557 	 mmu-miR-340-5p 	4.35648	3.627377	3.884575	3.750276	3.713373	3.847513	4.372876	3.588377	2.794397	2.717962	3.808606	2.685913	3.781584	2.824783	2.3131	3.612507	3.576712	3.278877	2.335041	3.893753	3.132311	3.136937	3.131834	0.7568164	0.0004774	0.7614418	0.005102787	0.02798105	0.9993693	0.1709358	0.9922872	0.3542628	0.9993693	0.7808428	0.9961583
A_54_P1045 	 mmu-miR-130a 	9.670195	8.845967	10.3972	9.374521	9.033211	8.882022	9.994621	9.218974	9.5732	9.093583	9.537597	8.455591	8.864984	8.675846	8.52982	9.098346	8.793374	8.477534	8.462822	9.288502	9.687993	8.848429	8.60178	0.4400725	1.086213	-0.3994915	0.2466491	0.08352984	0.09123963	0.410819	0.2842324	0.4840295	0.928386	0.955219	0.8564537
A_54_P3270 	 mmu-miR-30a* 	5.052083	4.336006	5.759161	4.687236	3.908866	4.043755	4.247688	4.145824	4.887693	4.294106	4.112698	4.362911	4.684983	4.200764	4.020787	5.098229	4.621593	4.816946	4.468122	4.345923	4.98032	4.40283	4.656684	-0.05690774	0.3236366	-0.6343977	-0.2538534	0.8027018	0.5295057	0.2704822	0.2292486	0.9490113	0.9317511	0.8755106	0.8234925
A_54_P2260 	 mmu-miR-30a 	6.921774	5.730438	7.509708	6.153973	5.444201	6.881767	5.919555	5.43807	6.989587	6.941206	5.433465	5.570463	6.668584	5.151835	5.430634	6.494117	5.968259	6.645874	6.817798	6.069968	7.146834	5.674796	6.710752	0.3951726	0.4360815	-1.076866	-1.035957	0.2238435	0.1294123	0.007735258	0.002628821	0.6329933	0.928386	0.1388749	0.1050283
hur_2_21 	 hur_2 	14.16996	13.93292	13.8892	14.28277	13.28496	14.42999	14.4477	14.2371	14.0545	13.82384	13.67069	12.89224	13.85337	13.5584	12.8365	13.46195	13.12989	13.61763	15.29449	14.1122	13.92251	13.25828	14.25516	0.853923	-0.3326504	0.1896854	-0.996888	0.001896483	0.5915605	0.2909038	0.1908265	0.1681022	0.9375173	0.8841643	0.782014
A_54_P2214 	 mghv-miR-M1-2 	4.323308	4.026336	4.292469	4.260469	4.198504	4.355552	4.167133	4.255383	4.611621	4.214501	4.11085	4.470723	3.913479	4.393151	4.126493	3.971066	4.317332	4.195088	4.188705	4.22667	4.372864	4.231602	4.099091	-0.004932838	0.2737731	-0.146194	0.1325119	0.9570496	0.15276	0.3526741	0.3262643	0.986231	0.928386	0.9324123	0.8585158
mr_1_23 	 mr_1 	9.187164	8.95153	8.955559	9.218634	8.43859	9.283202	9.694389	9.21315	9.177173	8.632877	8.960622	8.257121	8.575003	8.637233	8.138242	8.472613	8.407066	8.66348	10.05741	9.140951	8.92187	8.478816	9.09863	0.6621352	-0.1767604	0.2190818	-0.6198137	0.00467744	0.754599	0.3486527	0.3246271	0.1805492	0.9608407	0.931349	0.8585158
A_54_P3165 	 mmu-miR-590-3p 	2.026727	2.241509	2.099164	1.650801	2.551041	1.527258	2.898784	1.287514	2.319768	1.72964	1.741709	1.803756	2.651822	2.097098	1.793083	0.6503882	1.870755	1.683042	1.99055	2.026233	2.049524	1.659465	2.108471	0.3667686	-0.05894716	-0.02329053	-0.4490063	0.2504979	0.8701132	0.9356495	0.2697657	0.6447979	0.9712062	0.9922076	0.8564537
A_54_P3117 	 mmu-miR-466f-3p 	4.219937	3.518621	3.054045	4.082055	3.103856	1.126815	3.734547	4.958655	3.397803	0.3238263	1.761333	2.933041	4.003885	2.63213	3.223245	3.934001	2.823158	1.889346	4.572549	3.534927	2.258558	2.884485	3.488593	0.6504417	-1.230035	1.276368	-0.6041086	0.2589426	0.3890331	0.3221547	0.5444613	0.65328	0.928386	0.9180514	0.8997099
A_54_P2585 	 mmu-miR-350 	3.533046	3.303411	4.586347	3.292677	2.63934	1.958635	4.40888	4.221217	3.780474	1.219003	2.258713	0.6981258	2.400059	1.267848	1.424074	2.236166	1.550798	1.633706	1.709815	3.336744	3.195275	1.572621	1.914527	1.764123	1.280748	0.1414689	-0.3419058	0.001217803	0.3336195	0.9045942	0.361867	0.1681022	0.928386	0.9829443	0.8744774
A_54_P1617 	 mmu-miR-429 	1.808305	1.536164	3.061125	1.326894	2.060522	0.9965543	2.356509	1.081867	2.462585	0.7645397	0.9450872	1.379154	1.612889	1.495626	1.290243	2.071079	1.700068	2.520433	1.92546	1.595259	2.096083	1.48021	2.019594	0.1150496	0.07648922	-0.500824	-0.5393844	0.6505025	0.9249064	0.5468185	0.1667147	0.9085656	0.9761747	0.9676963	0.7510931
A_54_P1856 	 mmu-miR-670 	3.087463	1.350497	0	0	2.107688	2.757023	0	0	0.6507646	0	1.847997	1.718088	4.419539	3.432959	2.526069	0	0	0	2.908813	1.328953	0.2169215	1.587519	2.442784	-0.2585658	-2.225862	1.112032	-0.8552651	0.7400705	0.2259489	0.08262854	0.5907744	0.9289991	0.928386	0.5886255	0.90756
A_54_P3166 	 mmu-miR-590-3p 	2.479513	2.147136	2.048927	1.66226	2.724223	1.593695	2.571684	2.612725	3.064767	1.097826	2.997692	1.810801	2.193898	2.134028	2.291688	2.125778	2.275279	1.889179	1.855921	2.255891	2.070507	2.272545	1.979666	-0.01665385	0.09084107	0.1853839	0.2928788	0.9456102	0.8886864	0.7802842	0.1746439	0.986231	0.9761747	0.9676963	0.7617235
A_54_P2884 	 mmu-miR-672 	1.511613	1.78584	1.719186	1.539586	0.2929337	2.486215	1.731127	1.770581	0.772407	2.582897	0.993132	2.069086	1.30799	2.259934	1.996504	1.186539	0.4938939	1.603432	0.8510518	1.588271	1.691497	1.499848	1.254158	0.08842279	0.4373386	-0.1032257	0.2456902	0.8211294	0.5026164	0.8699657	0.5208256	0.9518197	0.9317511	0.9829443	0.8932426
A_54_P3553 	 mmu-miR-378* 	4.118607	2.679883	4.20616	3.01887	1.751311	1.376742	3.037679	3.755203	3.369275	2.186405	1.670905	2.856454	3.964361	2.426417	1.823876	4.071375	3.153987	3.713295	3.765535	2.819756	3.253947	2.667169	3.814397	0.1525873	-0.5604502	-0.4341904	-1.147228	0.7760517	0.4401388	0.5682589	0.02491876	0.9487774	0.928386	0.9676963	0.3053537
A_54_P2634 	 mmu-miR-320 	3.950397	2.66219	4.336927	1.856864	1.738887	3.390375	3.778296	3.2092	3.082631	2.481501	3.494172	1.091798	1.56545	1.731934	0.8633417	2.618767	2.453435	3.291204	2.842717	2.940887	3.300353	2.042241	2.566457	0.898646	0.7338958	-0.3594655	-0.5242157	0.1188824	0.3847085	0.6077427	0.4655063	0.5156025	0.928386	0.9676963	0.891705
A_54_P1772 	 mmu-miR-302b 	1.613568	2.284504	1.310273	1.476632	1.178351	2.1968	2.120509	1.579416	1.489052	1.548978	1.611456	1.498845	2.977811	2.682559	1.061946	1.519893	1.012573	2.926407	1.339404	1.77854	1.449434	1.564545	2.414541	0.2139948	-0.9651065	0.3291058	-0.8499955	0.4843382	0.2128891	0.09766381	0.249941	0.8155434	0.928386	0.6310441	0.8373919
A_54_P1443 	 mmu-miR-210 	2.88854	5.464214	4.545616	3.360029	0.9536772	2.987996	4.204184	4.318064	1.864882	1.916565	1.63999	4.574676	1.816706	2.040598	1.748694	2.831728	1.728334	2.361565	2.068227	3.453815	2.775688	2.427337	2.082166	1.026478	0.6935216	0.6781274	0.3451707	0.1768275	0.5169244	0.5522097	0.5084712	0.5702076	0.9317511	0.9676963	0.8932426
A_54_P2263 	 mmu-miR-99a 	5.237909	3.996806	5.438099	4.616266	3.895524	4.455093	4.252802	3.961898	4.518129	4.167031	4.28606	3.792883	4.570573	3.704146	3.152911	4.62608	4.342305	4.565996	4.481669	4.345186	4.707753	3.984064	4.539413	0.3611214	0.1683403	-0.3625675	-0.5553486	0.2309576	0.70069	0.4519632	0.05189083	0.6390656	0.9605641	0.955219	0.4303435
A_54_P1913 	 mmu-miR-677 	1.836778	1.217814	0.2972743	0.4279948	0.8091193	3.453265	1.815104	1.20842	1.570389	0.7705096	0	1.224583	0.2779081	1.088161	1.06711	0	1.201634	2.655132	3.376642	1.538356	0.879391	0.7635814	2.103227	0.774775	-1.223836	0.6589654	-1.339646	0.111604	3.23E-01	0.2565926	0.2862067	0.5038495	0.928386	0.8707645	0.8564537
dmr_3_16 	 dmr_3 	13.93741	13.91477	13.81795	13.70346	13.46812	13.68305	13.78617	13.66264	13.74195	13.76132	13.79734	13.64624	13.666	13.6908	13.54596	13.77405	13.5679	13.62998	13.53757	13.73652	13.77374	13.67038	13.61118	0.06613664	0.1625587	-0.03722624	0.05919583	0.3932657	0.03083733	0.5843336	0.3384895	0.747786	0.928386	0.9676963	0.8593167
A_54_P2249 	 mmu-let-7g 	9.458583	8.602269	9.458505	8.969272	8.173238	7.777864	8.594474	8.631193	8.746227	7.857918	8.970021	8.589445	8.922192	8.183544	8.07141	8.983203	8.640826	8.716317	8.608972	8.600985	8.68755	8.573075	8.74916	0.0279098	-0.06161025	-0.08656549	-0.1760855	0.9153185	0.9073152	0.8756304	0.3642111	0.9829655	0.9761747	0.9829443	0.8744774
dmr_6_22 	 dmr_6 	14.48955	14.62782	14.49889	14.5944	14.15872	14.40119	14.44896	14.38886	14.41168	14.42591	14.46989	14.37425	14.27965	14.36514	14.2385	14.46337	14.20729	14.36437	14.26015	14.44421	14.44549	14.35307	14.30139	0.09114193	0.1441019	-0.001277998	0.05168198	0.2443609	0.02742542	0.984721	0.3808516	0.643484	0.928386	0.9942935	0.8770813
A_54_P4394 	 mmu-miR-429 	1.598788	1.045537	2.954502	1.083509	1.034967	1.990406	2.910762	1.643864	1.34319	1.478594	1.326673	1.227012	1.954536	2.282301	1.859544	2.145515	1.572045	3.339323	2.599469	1.615405	1.925429	1.735515	2.631109	-0.1201102	-0.7056801	-0.3100241	-0.895594	0.7075964	0.3440921	0.6273871	0.1390796	0.9190644	0.928386	0.9676963	0.6829158
A_54_P3304 	 mmu-miR-136* 	2.174582	2.732572	1.074229	4.856209	3.418745	2.814697	3.180576	3.676919	0.6566093	0.7206353	4.932057	2.552924	0.5903669	3.38693	2.689555	1.081184	3.536116	1.367836	2.371297	3.2649	0.8171579	3.029795	1.443167	0.2351053	-0.6260087	2.447742	1.586628	0.7109069	0.3483411	0.000151133	0.07542485	0.9190644	0.928386	0.008333921	0.5107718
A_54_P2764 	 mmu-miR-466a-5p 	1.529236	1.217201	1.422193	0	2.563528	2.604883	0	1.238839	3.007654	0.6039464	1.20842	2.067037	5.49452	2.769766	0.9418104	0.961099	0	1.65642	1.689256	1.307669	1.677931	1.324689	2.946732	-0.01701913	-1.268801	-0.3702617	-1.622043	0.9764202	0.4454463	0.6758996	0.3301693	0.9870608	0.928386	0.9676963	0.8585158
A_54_P3399 	 mmu-miR-30c-2* 	1.449725	1.924273	2.268231	1.636022	0.9785986	2.003716	1.560798	1.083447	0.973286	1.837959	1.612513	1.284593	1.622434	2.427189	1.440913	1.977119	0.9648427	1.788832	1.543718	1.519511	1.693159	1.617862	1.651661	-0.09835032	0.04149743	-0.1736474	-0.03379967	0.711722	0.9239176	0.7029076	0.8851488	0.9190644	0.9761747	0.9676963	0.9721649
A_54_P3467 	 mmu-miR-29c* 	4.376245	4.020797	4.655906	4.232304	3.509687	3.355635	4.298425	4.337449	4.633651	2.903726	4.044642	3.473008	3.353173	3.907041	3.253088	3.942282	3.872503	3.330235	3.441611	4.018649	4.064427	3.748761	3.375006	0.2698886	0.6894211	-0.04577832	0.3737542	0.211387	0.3567716	0.9454447	0.03173839	0.6165559	0.928386	0.9922076	0.3266939
A_54_P3032 	 mmu-miR-190b 	2.276644	3.051254	2.729419	2.55044	1.43533	2.462516	2.626287	1.891803	2.324564	2.831527	3.076186	1.129231	2.099828	3.326813	2.491152	2.71624	1.575609	2.812417	2.336088	2.327753	2.628503	2.385872	2.416111	-0.05811845	0.2123925	-0.30075	-0.03023908	0.8893106	0.464387	0.2703865	0.943232	0.9775458	0.928386	0.8755106	0.97873
A_54_P2573 	 mmu-miR-342-3p 	0.5799494	2.050009	1.332556	0.5697635	1.617193	1.037567	3.472574	3.969204	0	1.321158	1.870669	0.4576507	1.168779	1.81034	0.1686303	2.23235	0.840082	0.6267776	2.748275	1.899466	0.8845712	1.229954	1.514611	0.6695119	-0.6300395	1.014894	-0.2846569	0.3057666	0.4669937	0.1790652	0.7189583	0.6873266	0.928386	0.8037111	0.9510076
A_54_P3618 	 mmu-miR-374* 	1.425421	1.964097	2.58268	0.5157781	2.021423	0.7349048	1.738675	2.111213	1.223918	2.013814	1.392935	2.26242	1.073635	2.118781	1.219989	1.428603	1.826306	0.9810536	2.837461	1.501644	1.940137	1.708172	1.630716	-0.2065278	0.3094209	-0.4384929	0.07745582	0.5042804	0.6933251	0.4020527	0.911708	0.8277888	0.9605641	0.955219	0.9756364
A_54_P2164 	 mmu-miR-721 	1.761065	4.004783	3.882164	4.478033	3.174888	3.940168	3.979722	4.154213	3.635729	2.289886	3.863269	2.38317	1.918831	2.52988	2.215534	2.219864	2.414595	1.800512	1.95831	3.641839	3.26926	2.604386	1.892551	1.037453	1.376709	0.372579	0.7118344	0.0357771	0.1072394	0.5699816	0.03866221	0.4042427	0.928386	0.9676963	0.3610388
A_54_P1661 	 mmu-miR-469 	2.157036	1.213803	2.328634	0.5521683	0	1.852812	2.996056	1.592108	2.71235	1.110165	1.564773	0	1.364504	1.997598	2.048987	1.910038	2.768881	2.209769	2.116492	1.480569	2.050383	1.715046	1.896922	-0.234477	0.1534613	-0.569814	-0.1818757	0.67018	0.798458	0.3990663	0.7067073	0.9085656	0.9673888	0.955219	0.9510076
A_54_P1270 	 mmu-miR-30c 	5.894178	4.769409	6.19934	4.986786	4.099194	5.181563	4.751386	4.287388	6.082609	5.259488	4.36859	4.476559	5.730877	4.256927	4.567551	5.421674	5.077562	5.601813	5.706909	4.852843	5.847145	4.694811	5.679866	0.1580327	0.167279	-0.994302	-0.9850556	0.598535	0.6297746	0.04924707	0.002752921	0.8851531	0.9558987	0.4639442	0.1050283
A_54_P2499 	 mmu-miR-34a 	7.11803	7.421676	10.30661	7.085385	7.202351	6.68745	8.914596	7.775908	9.776473	8.215139	7.601104	6.828653	8.052943	7.223458	6.774672	7.377525	6.54731	6.15813	7.159895	7.457914	9.43274	7.058787	7.123656	0.3991266	2.309084	-1.974826	-0.06486885	0.240842	0.05124013	0.06885303	0.9185452	0.643484	0.928386	0.5479849	0.9756364
A_54_P3373 	 mmu-miR-300* 	1.645424	1.20354	0.6182584	0.6048847	0.454866	1.158234	1.154604	0.3877252	1.631571	1.807467	1.122	1.362017	1.120648	0.709738	0.2371502	0.773073	1.348165	1.348836	1.285905	0.9441825	1.352432	0.9253572	1.251796	0.0188253	0.1006358	-0.4082496	-0.3264391	0.9415649	0.8130062	0.394207	0.1358126	0.986231	0.9673888	0.955219	0.6764343
NC2_00079215 	 NC2_00079215 	1.438605	1.61206	1.665381	1.096142	1.326471	1.389242	1.638066	1.151553	1.383278	1.906829	1.348471	1.297534	1.049141	1.534353	1.58428	1.762125	1.862357	1.85219	1.822836	1.378877	1.651829	1.564853	1.574722	-0.1859762	0.07710679	-0.2729522	-0.009869168	0.1511713	0.8148476	0.2034128	0.974341	0.54189	0.9673888	0.8221174	0.9928875
A_54_P4404 	 mmu-miR-1224 	10.99091	10.30244	9.730116	9.518067	9.247741	9.544284	10.32152	10.42862	9.755963	8.979828	9.670086	8.66373	9.002542	8.930855	8.8363	8.892691	8.800131	8.923249	10.75196	10.05051	9.488636	8.965632	9.55925	1.084879	-0.07061344	0.5618754	-0.5936168	0.003087028	0.9208958	0.1608122	0.4262509	0.1681022	0.9761747	0.7569942	0.8827248
hur_2_19 	 hur_2 	13.98659	13.7342	13.71506	14.01125	13.11093	14.25956	14.25857	14.01162	13.86515	13.62481	13.51598	12.71612	13.63355	13.36446	12.65571	13.28828	12.95799	13.43351	15.05292	13.91039	13.73501	13.08309	14.03999	0.8272993	-0.3049869	0.1753842	-0.9569021	0.002274226	0.6115236	0.3201097	0.1944077	0.1681022	0.9445158	0.9180514	0.782014
A_54_P4421 	 mmu-miR-674* 	2.341793	1.76628	4.654267	2.40778	1.43332	0	3.87992	1.852223	3.966944	1.817063	1.912667	1.513148	1.994728	2.004585	1.285413	3.084607	2.002471	1.404332	1.749522	1.954474	3.479425	1.967149	1.716194	-0.01267494	1.763231	-1.524951	0.2509545	0.980668	0.1708401	0.2071503	0.4389596	0.9870608	0.928386	0.8240097	0.8899948
A_54_P2496 	 mmu-miR-92a 	8.71467	7.356461	7.996702	8.16569	7.586719	7.357074	8.679508	8.136212	7.347562	6.930318	8.354806	7.213098	8.017678	7.634648	7.278958	8.243363	7.673223	7.950286	7.634959	7.999476	7.42486	7.733016	7.867641	0.2664603	-0.4427805	0.5746158	-0.1346251	0.3828056	0.2882277	0.2023728	0.5728311	0.7432101	0.928386	0.8221174	0.90756
A_54_P2833 	 mmu-miR-369-3p 	2.00515	1.960637	1.69579	1.845166	2.231744	1.529371	1.955465	1.461747	1.382166	1.569776	2.51232	2.26021	1.496876	2.140861	1.602983	1.459581	2.227207	1.310895	2.123047	1.855611	1.549244	2.03386	1.643606	-0.1782488	-0.09436192	0.3063673	0.3902542	0.3903657	0.7465524	0.06282084	0.2605079	0.7468379	0.9605641	0.5214805	0.8457684
