ProbeName 	SystematicName 	Ctnnb1..EKUTA.1. 	Ctnnb1..EKUTA.2. 	Ras..EKUTA.3. 	Ctnnb1..EKUTA.4. 	Ctnnb1..EKUTA.5. 	Ctnnb1..EKUTA.6. 	Ctnnb1..EKUTA.7. 	Ctnnb1..EKUTA.8. 	Ras..EKUTA.9. 	Ras..EKUTA.10. 	n.l..Ctnnb1..EKUTA.NT.1. 	n.l..Ctnnb1..EKUTA.NT.2. 	n.l..Ras..EKUTA.NT.3. 	n.l..Ctnnb1..EKUTA.NT.4. 	n.l..Ctnnb1..EKUTA.NT.5. 	n.l..Ctnnb1..EKUTA.NT.6. 	n.l..Ctnnb1..EKUTA.NT.8. 	n.l..Ras..EKUTA.NT.9. 	n.l..Ras..EKUTA.NT.10. 	Ctnnb1 	 Ras 	 N.l. (Ctnnb1) 	 N.l. (Ras) 	FC  Ctnnb1 	 FC  Ras 	 FC  Ctnnb1  vs.  Ras 	 FC  N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1) 	 Ras  vs.  N.l. (Ras) 	 Ctnnb1  vs.  Ras 	 N.l. (Ctnnb1)  vs.  N.l. (Ras) 	Ctnnb1  vs.  N.l. (Ctnnb1)  ADJ 	 Ras  vs.  N.l. (Ras)  ADJ 	 Ctnnb1  vs.  Ras  ADJ 	 N.l. (Ctnnb1)  vs.  N.l. (Ras)  ADJ 
A_54_P2385 	 mmu-miR-200b 	1.347069	1.078556	3.6514	1.305554	1.086458	1.375449	3.17477	1.490842	0.9284673	0.9955388	0.6307893	1.618884	1.459566	1.392431	2.096297	1.910626	2.250493	2.519117	3.603617	1.551243	1.858469	1.64992	2.527433	-0.09867756	-0.6689648	-0.3072259	-0.8775131	0.7926961	0.5763351	0.7698523	0.2896857	0.9487774	0.9375173	0.9676963	0.8564537
A_54_P2883 	 mmu-miR-672 	2.794936	2.752749	2.805292	1.007196	0	2.493135	0	0	2.794936	3.032101	0	1.761285	2.786596	2.643856	0	2.121015	4.277985	1.944858	0	1.292574	2.877443	1.80069	1.577152	-0.5081167	1.300291	-1.584869	0.2235387	0.5597109	0.2551223	0.02068231	0.8421962	0.8624687	0.928386	0.2903044	0.9646805
A_54_P3146 	 mmu-miR-509-3p 	0.7254409	1.275065	0.8735132	1.903297	1.159416	0.78729	1.135585	1.549736	2.302865	2.039853	1.466023	1.031975	2.448298	1.775741	1.44066	1.476664	2.188938	1.941428	0.709663	1.219404	1.738744	1.563333	1.699796	-0.3439292	0.03894746	-0.5193397	-0.136463	0.15014	0.957001	0.3599831	0.8206287	0.54189	0.9837613	0.9360248	0.9628045
A_54_P3415 	 mmu-let-7a* 	3.322873	2.413678	1.805647	2.110764	1.135331	1.493195	2.071789	1.922628	1.013046	0.7671764	1.034902	1.385142	2.864464	1.295738	0.8789715	1.920047	2.551344	2.116587	1.497496	2.06718	1.19529	1.511024	2.159516	0.5561558	-0.9642257	0.87189	-0.6484915	0.1570626	0.1321617	0.08648466	0.2442739	0.5444288	0.928386	0.5908509	0.8364073
A_54_P2644 	 mmu-miR-222 	1.760105	1.334504	3.437684	0.9089437	0.92677	3.664054	2.017341	1.373326	1.00435	2.833709	2.135346	1.636447	0.7317825	1.248631	1.831515	1.06742	1.464106	1.609706	1.493426	1.712149	2.425248	1.563911	1.278305	0.1482382	1.146943	-0.7130985	0.285606	0.7156169	0.2534678	0.4455666	0.4280045	0.9190644	0.928386	0.955219	0.8827248
A_54_P3125 	 mmu-miR-466h 	1.318254	1.16143	1.434266	1.435545	1.167221	3.521012	2.952107	3.558903	2.578758	1.432079	2.264621	1.677998	2.005025	1.584188	1.783084	1.91069	2.070651	2.201878	1.280511	2.15921	1.815034	1.881872	1.829138	0.2773384	-0.0141037	0.3441761	0.05273401	0.5487388	0.977791	0.5677745	0.8728646	0.8540854	0.9925225	0.9676963	0.9721649
A_54_P1778 	 mmu-miR-302c 	1.599318	0.8155754	0	0	1.835924	2.472488	2.925999	1.361768	0	1.70044	2.769772	2.865919	0	0	2.931683	0	1.405992	0.4114262	2.695994	1.57301	0.5668132	1.662228	1.035807	-0.08921726	-0.4689934	1.006197	0.626421	0.899115	0.6703383	0.2144929	0.5712079	0.9787661	0.9605641	0.826478	0.90756
A_54_P2069 	 mmu-miR-702 	0.3309228	0.5885116	0.1073094	0.5578521	0	1.028639	0.1769566	1.02692	1.978384	0.6444487	0.4650209	1.547613	0.2494871	1.104222	0.7088258	1.627124	2.364358	2.267834	1.273223	0.5299718	0.9100472	1.302861	1.263514	-0.772889	-0.3534672	-0.3800755	0.03934624	0.04296969	0.6835128	0.5694222	0.9553775	0.4391164	0.9605641	0.9676963	0.9841027
A_54_P2278 	 mmu-miR-125a-3p 	0	2.361768	0	3.459432	0.9560567	2.695994	3.498251	4	1.632268	0.6599246	2.541019	0	0	3.510962	0	2.100978	4.776104	1.673556	0	2.4245	0.7640643	2.154844	0.5578521	0.2696564	0.2062121	1.660436	1.596992	0.7836099	7.93E-01	0.05716276	0.1397677	0.9487774	0.9673888	0.4903732	0.6829158
A_54_P2083 	 mmu-miR-705 	3.621447	3.881791	3.786989	4.497431	2.837676	4.110561	3.768977	4.137634	1.158864	2.275865	4.291957	2.215391	2.48954	3.288033	2.836112	2.960584	2.632855	3.400974	3.82635	3.836503	2.407239	3.037489	3.238954	0.7990138	-0.831715	1.429263	-0.2014657	0.04868284	0.4036342	0.1953549	0.7005395	0.4518916	0.928386	0.8221174	0.9510076
A_54_P2712 	 mmu-miR-410 	2.006043	2.622649	0.6239238	4.436345	3.109746	4.073645	2.834839	4.440804	2.012412	1.26112	4.492568	2.18557	0.6502815	3.037399	1.225435	1.083699	2.776438	0.302963	1.572173	3.360582	1.299152	2.466852	0.8418059	0.8937302	0.457346	2.06143	1.625046	0.1907279	0.4539052	0.01079233	0.03975168	0.5964634	0.928386	0.1735766	0.3610388
A_54_P2820 	 mmu-miR-367 	1.995666	0.4911643	1.753438	1.58771	0	1.793431	0.763104	1.114388	2.099031	0.6856633	2.223017	1.6783	1.436444	1.010067	1.214811	1.970024	2.348971	1.489928	1.869909	1.106495	1.512711	1.740865	1.59876	-0.6343705	-0.08604954	-0.406216	0.1421049	0.1013644	0.8623197	0.4702141	0.6016748	0.4962664	0.9712062	0.9612424	0.90756
A_54_P2956 	 mmu-miR-450b-5p 	1.765507	1.588336	1.93649	2.70507	1.478926	2.499201	0.6551325	1.701434	1.770779	1.414556	1.959006	1.931228	3.066797	2.056618	2.051223	1.67291	2.040358	2.106687	1.536583	1.770515	1.707275	1.95189	2.236689	-0.1813754	-0.5294139	0.06323989	-0.2847986	0.5149069	0.3594167	0.838051	0.5899022	0.831607	0.928386	0.9817533	0.90756
