"Probe set ID"	"GeneSymbol"	"1,1-DICHLOROETHENE_600ppm_1d"	"1,1-DICHLOROETHENE_600ppm_3d"	"1,1-DICHLOROETHENE_600ppm_5d"
"GE12386"	"Klhl31"	-0.0881030199999997	0.521639841666667	0.458651507692307
"GE12387"	NA	0.218325066666667	0.449779625	0.361136423076923
"GE12389"	NA	0.177653033333334	-0.364556916666666	0.668760608205128
"GE12390"	"Commd6"	0.293459950000001	0.967874333333334	0.114001025641025
"GE12391"	"Serpinb9"	-1.37833300333333	0.409922516666667	-1.21772724871795
"GE12393"	NA	0.940212916666667	-0.381048458333332	0.591809461538462
"GE12394"	NA	0.552878793333333	-0.341413216666667	0.143285953846154
"GE12395"	NA	-1.20601813333333	0.412101833333333	0.0933412179487174
"GE12396"	"Rpp30"	-0.2365054	0.142001708333332	-0.169702707692307
"GE12397"	NA	0.5649906	0.970378849999999	0.664316333333332
"GE12398"	"Dnajb12"	0.457645616666666	0.107373166666665	0.0989005000000009
"GE12399"	"Pde4dip"	-0.981961573333333	0.0939356833333331	-0.303959458974359
"GE12400"	NA	-0.572787539999999	-0.274361558333333	-1.16920099487179
"GE12401"	"Mbnl2"	-0.99918035	0.4823123	-0.492795500000001
"GE12402"	NA	0.999213282666667	-5.08250000006427e-05	-0.243757689743591
"GE12403"	NA	0.606217792666667	-0.208910308333333	-0.781336576923077
"GE12405"	"Rgma"	-0.25393659	0.442984375	-1.07235513076923
"GE12406"	NA	-1.0521101	-0.0446270833333333	-0.674257153846153
"GE12407"	NA	-0.638564726666667	0.617114883333333	-0.58462036923077
"GE12408"	NA	-0.0682596633333334	-0.481198725	0.0163582179487181
"GE12409"	"Vps72"	-0.084970199999999	0.167733041666667	0.10337382051282
"GE12410"	"Lgi3"	0.67936676	0.369349608333333	0.0997812128205129
"GE12411"	"Bnip1"	0.0895740833333321	0.138522125	0.248286294871795
"GE12412"	NA	0.0956781000000007	-0.330882958333333	0.0793735128205117
"GE12413"	NA	-0.114732103333334	-1.17170410833333	0.102498846153846
"GE12414"	"Pdcd6"	-0.6105059	1.07247670833333	-0.153816256410256
"GE12415"	NA	-2.695013888	0.702538466666667	0.241730707692307
"GE12417"	"Parp9"	0.260064613333333	-0.0611101666666656	0.134689592307693
"GE12418"	NA	0.37519155	0.580677791666666	0.23098755128205
"GE12419"	NA	-0.220578166666666	0.320879	-0.227471615384616
"GE12420"	NA	0.1806983	0.436944583333334	0.246380807692306
"GE12421"	"Map4k3"	-0.278312366666666	-0.0142853333333335	-0.116104307692307
"GE12422"	NA	1.60270396	0.514067816666667	0.448356071794872
"GE12423"	"Cdc16"	-0.02539537	0.13785235	0.285837935897435
"GE12424"	"Rap1b"	-0.0727007300000002	-0.0113395083333341	0.0276722410256411
"GE12425"	"Ppm1k"	0.0856880599999998	0.170940116666666	0.341303605128205
"GE12426"	"Ccdc59"	-0.283239266666667	-0.168703416666666	0.138782153846153
"GE12427"	"C1galt1c1"	-0.371503266666666	0.694124791666667	-0.319371897435898
"GE12428"	"Taf11"	0.0216160833333348	0.400159958333333	-0.169953512820513
"GE12429"	"Cwc25"	-0.28483574	0.380505491666666	-1.3004748
"GE12430"	"Perp"	-1.08954876666667	1.02545083333333	-0.748906538461538
"GE12431"	"Iah1"	-0.342303133333333	0.112204999999999	-0.147044615384615
"GE12432"	NA	-0.18009335	-0.148399999999999	-0.307293641025641
"GE12433"	"Anks4b"	0.142914833333332	-0.0934898333333347	0.222834410256411
"GE12434"	"Pacrgl"	0.0190797233333333	-0.807495308333333	-0.305155353846153
"GE12435"	"Fbxo28"	-1.23653242666667	0.283533458333333	-1.06212720512821
"GE12436"	NA	-1.0751959	-0.391652416666666	-0.421335910256412
